response,label
"<Short audio> You have The Daily Show enabled. The Daily Show contains mature content and may not be suitable for all ages. Do you want to open it? <Short audio> April 16, 2019 You have The Daily Show enabled. The Daily Show contains mature content and may not be suitable for all ages. Do you want to open it? <Short audio> Weâre working on scheduling our upcoming guests right now. Check back soon for an update. <Short audio> The Daily Show skill can give you the latest news, interviews, upcoming guests, and information about show times. Try saying things like: What is the latest news? Who are the upcoming guests? Or, what time is the show on? What would you like? Thank you for visiting The Daily Show. Check back tomorrow for the latest news. <Short audio> The Daily Show skill can give you the latest news, interviews, upcoming guests, and information about show times. Try saying things like: What is the latest news? Who are the upcoming guests? Or, what time is the show on? What would you like? Thank you for visiting The Daily Show. Check back tomorrow for the latest news. <Short audio> The Daily Show skill can give you the latest news, interviews, upcoming guests, and information about show times. Try saying things like: What is the latest news? Who are the upcoming guests? Or, what time is the show on? What would you like? Thank you for visiting The Daily Show. Check back tomorrow for the latest news.",6
"This might answer your question: Tiger Woods won the 2019 Masters with a score of 13 under par. Dustin Johnson, Brooks Koepka, and Xander Schauffele finished tied for second place at 12 under par. Jason Day, Tony Finau, Francesco Molinari, and Webb Simpson tied for fifth at 11 under par. This might answer your question: Jason Day finished the 2019 Masters in 5th place at 11 under, 2 strokes back from the leader. This might answer your question: Tiger Woods won the 2019 Masters with a score of 13 under par. Dustin Johnson, Brooks Koepka, and Xander Schauffele finished tied for second place at 12 under par. Jason Day, Tony Finau, Francesco Molinari, and Webb Simpson tied for fifth at 11 under par. Sorry, I'm having trouble accessing your PGA TOUR skill right now For Help, please visit the help pages on the Amazon web site. Sorry, I'm having trouble accessing your PGA TOUR skill right now For Help, please visit the help pages on the Amazon web site. Sorry, I'm having trouble accessing your PGA TOUR skill right now For Help, please visit the help pages on the Amazon web site.",6
"Here's your news. Here's your news. Livestream Universe Update: Livestreaming News is in your Flash Briefing; to hear it, just say, WhatÛªs my Flash Briefing. To manage it, go to your Alexa App, tap on settings, then select Flash Briefing. For Help, please visit the help pages on the Amazon web site.",0
"Welcome to Aviation Weather Brief. Get the me tar for an airport with the eye cow airport identifier. You can say things like, get Kilo Sierra Mike Oscar. What airport would you like to try? Welcome to Aviation Weather Brief. Get the me tar for an airport with the eye cow airport identifier. You can say things like, get Kilo Sierra Mike Oscar. What airport would you like to try? Welcome to Aviation Weather Brief. Get the me tar for an airport with the eye cow airport identifier. You can say things like, get Kilo Sierra Mike Oscar. What airport would you like to try? Welcome to Aviation Weather Brief. Get the me tar for an airport with the eye cow airport identifier. You can say things like, get Kilo Sierra Mike Oscar. What airport would you like to try? To hear the me tar for an airport with the eye cow airport identifier, you can say things like, get Kilo Sierra Mike Oscar. What airport would you like to try? Goodbye Welcome to Aviation Weather Brief. Get the me tar for an airport with the eye cow airport identifier. You can say things like, get Kilo Sierra Mike Oscar. What airport would you like to try? To hear the me tar for an airport with the eye cow airport identifier, you can say things like, get Kilo Sierra Mike Oscar. What airport would you like to try? Goodbye Welcome to Aviation Weather Brief. Get the me tar for an airport with the eye cow airport identifier. You can say things like, get Kilo Sierra Mike Oscar. What airport would you like to try? To hear the me tar for an airport with the eye cow airport identifier, you can say things like, get Kilo Sierra Mike Oscar. What airport would you like to try? Goodbye",13
"This might answer your question: The game The Walking Dead: The Telltale Series - The Final Season was released on August 14, 2018. You have Syfy enabled. Do you want to open it? Welcome to Sy Fi. I can give you, whats playing on Sy Fi now, whats playing later tonight, and list Sy Fi shows. How can I help you? I do not know the show you requested. Please go to sci fi.com from more details, or ask me to list shows. How can I help you? You have Movie Picker enabled. Do you want to open it? Here's a good movie to watch: Snatch You have Movie Picker enabled. Do you want to open it? Sorry, I don't know that one. For Help, please visit the help pages on the Amazon web site. Hmm, I don't know that. For Help, please visit the help pages on the Amazon web site. Sorry, I don't know that one. For Help, please visit the help pages on the Amazon web site.",5
"Sorry, I'm not sure. Hmm, I'm not sure. You have Philly Fight Song enabled. Do you want to open it? yes! You have Philly Fight Song enabled. Do you want to open it?",10
"Hmm, I don't know that.",0
"Welcome to Marshawn Lynch's Beast Mode skill, you can ask things like where did you go to college, what's your favorite candy, or ask a press conference question. like how was that defense, or what's next for you. What would you like to ask? You have Marshawn Lynch's BeastMode enabled. Do you want to open it? Welcome to Marshawn Lynch's Beast Mode skill, you can ask things like where did you go to college, what's your favorite candy, or ask a press conference question. like how was that defense, or what's next for you. What would you like to ask? Lynch frequently ate Skittles during games, a habit which started when he was in high school. After Lynch was shown eating the candy during a nationally-televised game on December 5, 2011, Mars offered him a two-year supply of Skittles and a custom dispenser for his locker. You have Marshawn Lynch's BeastMode enabled. Do you want to open it? Welcome to Marshawn Lynch's Beast Mode skill, you can ask things like where did you go to college, what's your favorite candy, or ask a press conference question. like how was that defense, or what's next for you. What would you like to ask? Sorry, I'm having trouble accessing your Marshawn Lynch's BeastMode skill right now",3
"You gotta have faith Prime, Maybe not in who we are, but who we can be.",6
"I couldn't find any yoga songs.GenreNotFoundPromptMusic.PlayMusicIntenten_USdefault863f35ed-09a8-4571-9a04-5fb6b94b9a7a1Adm-20180212_202339-1 I couldn't find any yoga songs.GenreNotFoundPromptMusic.PlayMusicIntenten_USdefault863f35ed-09a8-4571-9a04-5fb6b94b9a7a1Adm-20180212_202339-1 I couldn't find any yoga songs.GenreNotFoundPromptMusic.PlayMusicIntenten_USdefault863f35ed-09a8-4571-9a04-5fb6b94b9a7a1Adm-20180212_202339-1 I couldn't find any yoga songs.GenreNotFoundPromptMusic.PlayMusicIntenten_USdefault863f35ed-09a8-4571-9a04-5fb6b94b9a7a1Adm-20180212_202339-1 For Help, please visit the help pages on the Amazon web site.",4
"I couldn't find any enabled video skills that can play that. Go to the Alexa app to manage your video skills and devices. I couldn't find any enabled video skills that can play that. Go to the Alexa app to manage your video skills and devices. Nothing is currently playing. I couldn't find any enabled video skills that can play that. Go to the Alexa app to manage your video skills and devices. Sorry, there is nothing to repeat. Welcome to The Mystery of the Haunted House.When you are ready, say ""Begin"". I understand you need some help. At any time you can issue the following commands. To hear your options again, say ""repeat options."" To hear the entire scene again, say ""repeat scene."" In order to revisit the previous scene, say ""go back."" To skip past the current scene description, say ""skip."" To start the game over, say ""start again."" At any time, to hear these commands again, say ""help"".Now, what would you like to do? Thank you for using My Alexa Skill.Goodbye. Welcome to The Mystery of the Haunted House.When you are ready, say ""Begin"". I understand you need some help. At any time you can issue the following commands. To hear your options again, say ""repeat options."" To hear the entire scene again, say ""repeat scene."" In order to revisit the previous scene, say ""go back."" To skip past the current scene description, say ""skip."" To start the game over, say ""start again."" At any time, to hear these commands again, say ""help"".Now, what would you like to do? Thank you for using My Alexa Skill.Goodbye. Welcome to The Mystery of the Haunted House.When you are ready, say ""Begin"". I understand you need some help. At any time you can issue the following commands. To hear your options again, say ""repeat options."" To hear the entire scene again, say ""repeat scene."" In order to revisit the previous scene, say ""go back."" To skip past the current scene description, say ""skip."" To start the game over, say ""start again."" At any time, to hear these commands again, say ""help"".Now, what would you like to do? Thank you for using My Alexa Skill.Goodbye.",3
"<Audio only response> Sorry, Iâm not sure about that. Hmm, I don't know that one.",13
"You have Police Scanner Codes enabled. Do you want to open it? Here's your police scanner code: 10 14 means Citizen w/suspect You have Police Scanner Codes enabled. Do you want to open it? You have Bionic Man Sound Effect enabled. Do you want to open it? <Short audio> You have Bionic Man Sound Effect enabled. Do you want to open it? You have The Economist Espresso enabled. Do you want to open it? Welcome to The Economist Espresso. I can tell you TodayÛªs agenda, the World in Brief or Quote of the Day. How can I help you? Okay! The World in Brief: The first poll published including the new Brexit Party found that Nigel Farage's anti-EU vehicle would come tops in May's European Parliament elections. Britain must take part in the balloting because of delays to Brexit. Voters, who pay little attention to the Strasbourg-based parliament's work, tend to cast protest votes amid low turnout. North Korea claimed it had fired a new tactical guided weapon, the first missile test since a failed summit in Hanoi between its leader, Kim Jong Un, and Donald Trump in February. A short-range cruise or anti-tank missile, analysts reckon, would inject a high-tech element into the country's huge but backward armed forces. A long-range test would cross an American red line. Unofficial quick counts showed that Joko Widodo, Indonesia's president, is likely to have won re-election on Wednesday, over Prabowo Subianto, whom he defeated in 2014. Jokowi, as he is known, had led comfortably in the polls. Official results will be announced in May. Alan GarcÌ_a, a former president of Peru, died after shooting himself in the head to avoid arrest in connection with one of the biggest corruption scandals in Latin American history. Elected president twice, in 1985 and 2006, Mr GarcÌ_a was one of nine people a judge had ordered arrested for alleged involvement in bribes distributed by Odebrecht, a Brazilian construction company. Dozens of medical professionals across seven American states were charged with illegally prescribing addictive pain pills. The charges were the result of work by a team of federal investigators created last year to target the Appalachian region, which has been hit particularly hard by the opioid epidemic. The Justice Department called it the largest prescription opioid enforcement effort ever undertaken. The European Union published a list of $20bn-worth of American exports to target with tariffs. Last week the Trump administration released its own list of European goods to hit with levies. The spat stems from a 14-year-old dispute over subsidies given to rival aerospace firms Boeing and Airbus. On Monday EU countries voted to start formal trade talks with America. Huawei's chief executive promised German officials a no-spy agreement as part of its effort to be considered for contracts to build the country's 5G wireless networks. The comments, reported in Wirtschaftswoche, a magazine, are striking as the Chinese telecoms-equipment-maker has said it does not do the bidding of the Chinese state, or install back doors for spies to exploit. Thats all for the World in Brief, you can hear the Quote of the Day or TodayÛªs Agenda. How can I help you?",7
"You have Bark Bark enabled. Do you want to open it? Bark Bark Bark Bark Bark. You have Bark Bark enabled. Do you want to open it? Hmm, I don't know that. You have Bark Bark enabled. Do you want to open it? Bark. You have Bark Bark enabled. Do you want to open it?",7
"You have The Rookie's Guide to the NFL enabled. Do you want to open it? <Audio only response> You have The Rookie's Guide to the NFL enabled. Do you want to open it? <Short audio> This might answer your question: The NFL regular season will start on Thursday, September 5, 2019. The first game will be between the Bears and the Packers on Thursday, September 5 at 6:20pm.",10
"Here's your news. Hmm, I'm not sure. For Help, please visit the help pages on the Amazon web site.",6
"Do you mean Baker Street Experience? Do you mean Baker Street Experience? I found a few matches for that. Do you mean Baker Street Experience? Hmm, I found a few skills that might help. <Short audio> <Short audio> <Short audio>",3
"Ok, Here's Silly Things <Audio only response> You have Silly Things enabled. Do you want to open it? Welcome to Silly Things, ask me for a silly thing to do! I think you should act like a kangaroo that has the hiccups.",3
You have Mega Millions Number Generator enabled. Do you want to open it? The five numbers are 70 55 31 7 58 and the mega ball is 14. You have Mega Millions Number Generator enabled. Do you want to open it? You have Mega Millions Number Generator enabled. Do you want to open it? <Audio only response> You have Mega Millions Number Generator enabled. Do you want to open it? <Audio only response>,3
"I found a few matches for that. You are 1.53 miles (2.46 kilometers) west of the centre of Gunbarrel. Theres a possibility that you could win at Tomato Temple Would you like to get a random challenge? Say ""Alexa, Open Fortnite Dropper"" Or after this, say ""Where should i drop"" And it will give you a location! Good bye",3
"For Help, please visit the help pages on the Amazon web site.",14
What species would you like a forecast for? <Audio only response> <Audio only response>,13
"Sorry, IÛªm not sure about that. Hmm, I'm not sure. Sorry, IÛªm not sure about that.",0
"You have High Low Guessing Game enabled. Do you want to open it? Welcome to the guessing game, High Low. Let's decide who will guess. Please say, me, or say, you. Okay, please think of a number for me to guess. After I guess, please say higher, or lower. Ready? Is your number, 63? You have High Low Guessing Game enabled. Do you want to open it? Welcome to the guessing game, High Low. Let's decide who will guess. Please say, me, or say, you. ok, I am going to think of a number for you to guess. Hmm. I am thinking of a number between 1 and 100. Please take your best guess by telling me a number. You have High Low Guessing Game enabled. Do you want to open it? Welcome to the guessing game, High Low. Let's decide who will guess. Please say, me, or say, you. ok, I am going to think of a number for you to guess. Hmm. I am thinking of a number between 1 and 100. Please take your best guess by telling me a number.",3
"Sorry, Iäó»m not sure about that. I couldn't find any relaxing beach nature songs.GenreNotFoundPromptMusic.PlayMusicIntenten_USdefault863f35ed-09a8-4571-9a04-5fb6b94b9a7a1Adm-20180212_202339-1 Getting Spa station from iHeart Radio",4
"I couldn't find any relaxing sounds chinese songs.GenreNotFoundPromptMusic.PlayMusicIntenten_USdefault863f35ed-09a8-4571-9a04-5fb6b94b9a7a1Adm-20180212_202339-1 For Help, please visit the help pages on the Amazon web site.",14
"Welcome to The Music Quiz! I will ask you 5 questions, try to get as many right as you can. Just say the number of the answer you want to pick, after I finish speaking. If you would like me to repeat a question for you, simply say, repeat. Let's begin with Question 1. Straight for the Lab was a 2003 album release by which rap star? 1. Snoop Dogg. 2. Eminem. 3. Doctor Dre. 4. 50 Cent. Welcome to The Music Quiz! I will ask you 5 questions, try to get as many right as you can. Just say the number of the answer you want to pick, after I finish speaking. If you would like me to repeat a question for you, simply say, repeat. Let's begin with Question 1. How was Antony Ray better known in the world of music? 1. Marky Mark. 2. Sir Mix a Lot. 3. Marc Anthony. 4. MC Hammer. Welcome to The Music Quiz! I will ask you 5 questions, try to get as many right as you can. Just say the number of the answer you want to pick, after I finish speaking. If you would like me to repeat a question for you, simply say, repeat. Let's begin with Question 1. Who had a 1957 hit with The Big Band? 1. Fats Domino. 2. Ray Charles. 3. Little Richard. 4. Chuck Berry.",3
"I couldn't find that on your calendar. Welcome to Class Picker by Hoogalit. Before we start, you will need to link the skill to your account. Here's how to do that. Go to the skill section in the Alexa app. Then, open the Class Picker skill. Tap link your account. Then, visit dot ask my class dot app and register Once you're done, say, open Class Picker You have Class Picker - Random picker for Teachers enabled. Do you want to open it? Welcome to Class Picker by Hoogalit. Before we start, you will need to link the skill to your account. Here's how to do that. Go to the skill section in the Alexa app. Then, open the Class Picker skill. Tap link your account. Then, visit dot ask my class dot app and register Once you're done, say, open Class Picker You have Class Picker - Random picker for Teachers enabled. Do you want to open it?",1
"You have Calorie Tracker enabled. Do you want to open it? Welcome to Calorie Tracker. What would you like me to do? In order to accurately track your calorie consumption, please say which timezone you are in. Say Pacific, Mountain, Central, or Eastern. Ok, Here's Calorie Tracker You have Calorie Tracker enabled. Do you want to open it? Welcome to Calorie Tracker. What would you like me to do? In order to accurately track your calorie consumption, please say which timezone you are in. Say Pacific, Mountain, Central, or Eastern. Welcome to Calorie Tracker. What would you like me to do? Welcome to Calorie Tracker. Users can keep track of how many calories they have consumed for the day. If you misentered an amount, you can ask Calorie Tracker to remove that amount as well. What would you like me to do?",4
"<Audio only response> Hmm, I don't know that one. Sorry, I'm not sure. For Help, please visit the help pages on the Amazon web site.",7
"Here's your news. Here's your news. Here's your meal idea, you can also view this idea on the Home screen of your Alexa app: If you have canned tuna, tomatoes, and crusty bread you can make a rustic salad. Mix a drained can of tuna with two cups of chopped tomatoes, and two or three cups of cubed crusty bread. Add a drizzle of olive oil and salt to taste. Add a few spoonfuls of capers and olives to make this salad really savory. Iâve added Food Network Daily Bite to your Flash Briefing; to hear it, just say, âWhatâs my Flash Briefing.â To manage your content, go to the Alexa App, tap on Settings, then select Flash Briefing. For Help, please visit the help pages on the Amazon web site.",2
"I couldn't find a list called grocery. I couldn't find a list called grocery. Should I create one? I couldn't find a list called grocery text. Sorry, I'm not sure. For Help, please visit the help pages on the Amazon web site. Sorry, I don't know that one. For Help, please visit the help pages on the Amazon web site. Sorry, I don't know that. For Help, please visit the help pages on the Amazon web site.",8
"Here's your news. Here's your news. You can ask for the leaderboard, or ask about a specific player. Which will it be?",10
"Welcome to puzzle prison. Say, walk to, followed by something in the room to move towards that object. Say, interact with, followed by something in the room to use that object. Say help, to hear these instructions again at any point during the game. Say repeat, to get an overview of the room and say stop, to stop playing. The room has four walls but no doors. The room is rectangular with the east and west walls half the length of the north and south walls. There are four raven statues in the northeast, northwest, southeast and southwest corners of the room. A single computer terminal resting atop a locked metal cabinet sits beside the centre of the north wall. In the centre of the south wall resides a single letter box. What would you like to do? Welcome to puzzle prison. Say, walk to, followed by something in the room to move towards that object. Say, interact with, followed by something in the room to use that object. Say help, to hear these instructions again at any point during the game. Say repeat, to get an overview of the room and say stop, to stop playing. The room has four walls but no doors. The room is rectangular with the east and west walls half the length of the north and south walls. There are four raven statues in the northeast, northwest, southeast and southwest corners of the room. A single computer terminal resting atop a locked metal cabinet sits beside the centre of the north wall. In the centre of the south wall resides a single letter box. What would you like to do? You walk up to the south most wall. What would you like to do? Welcome to puzzle prison. Say, walk to, followed by something in the room to move towards that object. Say, interact with, followed by something in the room to use that object. Say help, to hear these instructions again at any point during the game. Say repeat, to get an overview of the room and say stop, to stop playing. The room has four walls but no doors. The room is rectangular with the east and west walls half the length of the north and south walls. There are four raven statues in the northeast, northwest, southeast and southwest corners of the room. A single computer terminal resting atop a locked metal cabinet sits beside the centre of the north wall. In the centre of the south wall resides a single letter box. What would you like to do? You press a button on the computer terminal and some text appears, it reads, Escape your prison. The computer seems to have stopped responding to your input.",3
"<Audio only response> This might answer your question: I know about four Valentine's Day Romances. They're Valentine's Day, The Lost Valentine, Be My Valentine, and A Valentine Carol. This might answer your question: I know about four Valentine's Day Romances. They're Valentine's Day, The Lost Valentine, Be My Valentine, and A Valentine Carol. That's really sweet to ask, but I already have a strong connection to your Wi-Fi. For Help, please visit the help pages on the Amazon web site.",7
"You have Comcast Business ActiveCoreãÊ enabled. Do you want to open it? It appears that your account is not currently linked. Go to your Alexa app and link your active core Alexa Skill. You have Comcast Business ActiveCoreãÊ enabled. Do you want to open it? Sorry, I didn't find a device named smart remote my tv You have Ask My Buddy enabled. Do you want to open it? Welcome to Ask My Buddy, Who would you like to alert ? Sorry, it doesn't appear that you have linked your account yet!You must have an Ask My Buddy account to use this skill. Please use the Alexa app to link your Amazon account with your Ask My Buddy Account. It appears that your account is not currently linked. Go to your Alexa app and link your active core Alexa Skill. For Help, please visit the help pages on the Amazon web site.",0
"Hmm. Maybe the skill, Next Bowl Game, can help. Do you want to try it? <Audio only response> Hmm, I'm not sure. Hmm. Maybe the skill, Next Bowl Game, can help. Do you want to try it? <Audio only response> Hmm, I'm not sure. Sorry, I don't know that one. For Help, please visit the help pages on the Amazon web site.",3
Hi. Welcome to the My Questions survey experience. I'm excited to try something new and fun with you. The first questions are about sports you may follow. Please respond with the words Yes or No only. Do you follow any of these sports. NFL football? Hi. Welcome to the My Questions survey experience. I'm excited to try something new and fun with you. The first questions are about sports you may follow. Please respond with the words Yes or No only. Do you follow any of these sports. NFL football? Hi. Welcome to the My Questions survey experience. I'm excited to try something new and fun with you. The first questions are about sports you may follow. Please respond with the words Yes or No only. Do you follow any of these sports. NFL football? Hi. Welcome to the My Questions survey experience. I'm excited to try something new and fun with you. The first questions are about sports you may follow. Please respond with the words Yes or No only. Do you follow any of these sports. NFL football? Sorry I didn't quite understand you. Do you follow any of these sports. NFL football?.,9
"Welcome to Guess My Number. What is the maximum number you would like to go up to? For example, you could tell me to pick a number up to one hundred. Welcome to Guess My Number. What is the maximum number you would like to go up to? For example, you could tell me to pick a number up to one hundred. Welcome to Guess My Number. What is the maximum number you would like to go up to? For example, you could tell me to pick a number up to one hundred. Welcome to Guess My Number. What is the maximum number you would like to go up to? For example, you could tell me to pick a number up to one hundred. Welcome to Guess My Number. What is the maximum number you would like to go up to? For example, you could tell me to pick a number up to one hundred. Thank you for playing. Have a nice day.",3
"Insult Sword Fighting contains mature content that may not be suitable for all ages Insult Sword Fighting contains mature content that may not be suitable for all ages I canäó»t find that skill. To find skills, go to the Skills section of the Alexa App. Insult Sword Fighting contains mature content that may not be suitable for all ages You have Insult Sword Fighting enabled. Insult Sword Fighting contains mature content and may not be suitable for all ages. Do you want to open it? Insult Sword Fighting contains mature content that may not be suitable for all ages For Help, please visit the help pages on the Amazon web site.",3
"Ok, Here's Aircraft Radar Ok, Here's Aircraft Radar Ok, Here's Aircraft Radar",1
"<Short audio> For Help, please visit the help pages on the Amazon web site.",14
"Hmm, I don't know that one. Bitcoin, the digital asset and a payment system invented by Satoshi Nakamoto. 1 Ethereum is worth $166, up 1.6% over the last 24 hours. Sorry, IÛªm not sure about that. For Help, please visit the help pages on the Amazon web site.",0
"Welcome back. Would you like to continue where you last left off, with Show 63 - Supernova in the East II? This skill allows you to listen to your favorite podcast: hardcore history. If you have already been listening to an episode, you will be asked if you want to continue. Otherwise, you will be asked if you want to listen to the newest episode. You can also skip through which episode you want to listen to. By skipping forward, or backward. You can also skip by any number by saying something like, skip five episodes.You are also able to skip forward or back within an episode. To skip within an episode you will need to re invoke the skill name, asking to skip ahead or back followed by the amount of time The newest episode is, Show 63 - Supernova in the East II. Would you like to listen to it? Goodbye.",14
"You have Surfable enabled. Do you want to open it? wahoo! welcome to Surfable!. I can tell you surf reports of popular spots in California. To get started tell me the name of the surf spot you are intersted in. For instance you can say, Mavericks, and I will tell you the surf report at Mavericks. What spot are you interested in? Im not sure what surf spot you said. Can you try again? You have Surfable enabled. Do you want to open it? wahoo! welcome to Surfable!. I can tell you surf reports of popular spots in California. To get started tell me the name of the surf spot you are intersted in. For instance you can say, Mavericks, and I will tell you the surf report at Mavericks. What spot are you interested in? Im not sure what surf spot you said. Can you try again? You have Surfable enabled. Do you want to open it? all righty. welcome to Surfable!. I can tell you surf reports of popular spots in California. To get started tell me the name of the surf spot you are intersted in. For instance you can say, Mavericks, and I will tell you the surf report at Mavericks. What spot are you interested in? Uh oh... There was a problem. This is embarassing. Sorry.",10
Welcome to theDisney trivia for buttons. This game supports up to 4 players. How many players will be playing? Welcome to theDisney trivia for buttons. This game supports up to 4 players. How many players will be playing? Which skill do you want to enable?,3
"Sorry, I don't know that. <Audio only response> <Audio only response> Sorry, IÛªm not sure about that. For Help, please visit the help pages on the Amazon web site.",3
"Hi; welcome to the bartender. Just ask for a drink, give me an ingredient, or try ""surprise me."" <Audio only response> You have The Bartender enabled. The Bartender contains mature content and may not be suitable for all ages. Do you want to open it? Hi; the bartender here. You can get a drink by name, or ingredient, or try ""surprise me."" I found a drink named Miss Me Not. Would you like to make it?",2
"Welcome to I Choose You, an unofficial Pokemon guessing game! Say 'start' to start playing! The skill, Pikachu Talk can help you with that. Did you want to enable it? Hmm, I found a few skills that might help.",3
You have Philly Fight Song enabled. Do you want to open it? awesome!Go Birds! You have Philly Fight Song enabled. Do you want to open it? You have Philly Fight Song enabled. Do you want to open it? yes! You have Philly Fight Song enabled. Do you want to open it? You have Philly Fight Song enabled. Do you want to open it? awesome!Go Birds! You have Philly Fight Song enabled. Do you want to open it?,3
Here's your news. Here's your news. Here's your news.,1
"Hmm, I'm not sure. Hmm, I don't know that. You have Eyes On You enabled. Do you want to open it? This is the Eyes On You Skill. Say the name of the person for me to keep my eye on. I am not watching anyone right now. You can say, keep an eye on Tessa.",1
<Audio only response> <Audio only response> You have Rock Paper Scissors Knife enabled. Do you want to open it? Ok let's play! 3! 2! 1! Paper!! You have Rock Paper Scissors Knife enabled. Do you want to open it?,3
"Welcome to Truth or Dare. Do you want a truth, or a dare? Welcome to Truth or Dare. Do you want a truth, or a dare? Welcome to Help Me Sleep. Relax, and get ready to sleep. Welcome to Truth or Dare. Do you want a truth, or a dare? Ask for a truth or a dare. Simply say, Alexa ask Truth or Dare for a truth. To play, gather a group of at least three friends and take turns answering either a truth or a dare. Do you want a truth, or a dare? Bye.",3
"Sorry, I'm not sure. Sorry, I don't know that one. For Help, please visit the help pages on the Amazon web site.",3
"Sorry, I don't know that one. Hmm, I don't know that one. You have 1-800-Flowers enabled. Do you want to open it? You have 1-800-Flowers enabled. Do you want to open it?",8
"You have High Low Guessing Game enabled. Do you want to open it? Welcome to the guessing game, High Low. Let's decide who will guess. Please say, me, or say, you. Okay, please think of a number for me to guess. After I guess, please say higher, or lower. Ready? Is your number, 38? You have High Low Guessing Game enabled. Do you want to open it? Welcome to the guessing game, High Low. Let's decide who will guess. Please say, me, or say, you. ok, I am going to think of a number for you to guess. Hmm. I am thinking of a number between 1 and 100. Please take your best guess by telling me a number. <Audio only response>",3
"Here's a sample of Sad Trombone, by Sting & Shaggy, on Amazon Music. Gordon Ramsay contains mature content that may not be suitable for all ages",7
<Short audio> Sad Trombone is available with Amazon Music Unlimited which lets you play over 50 million songs. It's free for 30 days and then you'll be automatically charged $9.99 a month. Cancel anytime. Terms in the Alexa app. Should I start your free trial and play Sad Trombone? Gordon Ramsay contains mature content that may not be suitable for all ages,7
